,Car_Name,Car_details,Endine_disp,Milage_in_km/ltr,Seating_cap,color,Max_power,front_brake_type,rear_brake_type,cargo_volume,height,width,length,Gross_Weight,top_speed,Ownership,Year_of_Manufacture,Steering_Type,Car_price
69,2013 Maruti Swift Dzire ZXI,"46,530 kms • Petrol • Manual",1197 ,19.1,5,Silver,85.8,Ventilated Disc,Drum,320 liters,1555,1695,3995,1415,169 kmph,First Owner,2013,Power,₹ 5.25 Lakh
70,2014 Hyundai i10 Sportz,"84,938 kms • Petrol • Manual",1197 ,20.36,5,Grey,78.9,Ventilated Disc,Drum,-,1550,1595,3585,-,-,First Owner,2014,Power,₹ 3.64 Lakh
71,2014 Toyota Innova 2.5 VX (Diesel) 7 Seater BS IV,"1,77,000 kms • Diesel • Manual",2494 ,12.99,7,Golden,100.6,Ventilated Disc,Drum,300-litres,1760,1765,4585,2300,155 Kmph,First Owner,2014,Power,₹ 13.50 Lakh
72,2014 Maruti Swift ZXI,"63,888 kms • Petrol • Manual",1197 ,18.6,5,White,85.8,Ventilated Disc,Drum,-,1530,1695,3850,1415,-,Second Owner,2014,Power,₹ 5.25 Lakh
73,2015 Honda City i VTEC VX,"47,102 kms • Petrol • Manual",1497 ,17.4,5,Brown,117.3,Disc,Drum,510-litres,1495,1695,4440,-,195 Kmph,First Owner,2015,Power,₹ 7.86 Lakh
74,2016 Maruti Swift ZXI BSIV,"67,231 kms • Petrol • Manual",1197 ,22,5,,81.80,Disc,Drum,268,1530,1735,3840,1315,-,First Owner,2016,Power,₹ 6.09 Lakh
75,2011 Maruti Wagon R VXI BS IV,"72,850 kms • Petrol • Manual",998 ,18.9,5,Red,67.1,Ventilated Disc,Drum,-,1700,1495,3595,1350,-,First Owner,2011,Power,₹ 2.98 Lakh
76,2018 Hyundai Grand i10 1.2 Kappa Magna BSIV,"61,498 kms • Petrol • Manual",1197 ,18.9,5,Blue,81.86,Disc,Drum,256,1520,1660,3765,-,165 Kmph,Second Owner,2018,Power,₹ 5.17 Lakh
77,2019 Maruti Wagon R ZXI AMT 1.2,"13,224 kms • Petrol • Automatic",1197 ,20.52,5,Grey,81.80,Disc,Drum,341 Litres,1675 ,1620 ,3655 ,1340,-,First Owner,2019,Power,₹ 6.21 Lakh
78,2019 Volkswagen Vento 1.2 TSI Highline Plus AT,"55,289 kms • Petrol • Automatic",1197 ,18.19,5,Carbon steel,103.2,Ventilated Disc,Drum,494,1467,1699,4390,1720,185 Kmph,First Owner,2019,Power,₹ 10.99 Lakh
79,2012 Honda City V MT,"72,137 kms • Petrol • Manual",1497 ,16.8,5,Maroon,116.3,Disc,Drum,506-litres,1485,1695,4440,-,-,First Owner,2012,Power,₹ 5.07 Lakh
80,2019 Honda City V CVT,"43,573 kms • Petrol • Automatic",1497 ,17.4,5,Black,117.6,Ventilated Disc,Drum,510,1495,1695,4440,1455,195 Kmph,First Owner,2019,Power,₹ 9.99 Lakh
81,2019 Ford Ecosport 1.5 Petrol Titanium BSIV,"43,612 kms • Petrol • Manual",1497 ,17,5,White,121.31,Ventilated Disc,Drum,352-litres,1647,1765,3998,1660Kg,-,First Owner,2019,Power,₹ 8.36 Lakh
82,2018 Toyota Yaris G CVT BSIV,"17,079 kms • Petrol • Automatic",1496 ,17.8,5,White,105.5,Disc,Drum,476,1495,1730,4425,1580,-,Second Owner,2018,Power,₹ 8.47 Lakh
83,2018 Maruti Swift AMT ZXI Plus,"26,541 kms • Petrol • Automatic",1197 ,21.21,5,Grey,81.80,Disc,Drum,268,1530,1735,3840,1315,-,First Owner,2018,Electric,₹ 7.64 Lakh
84,2012 Hyundai Santro Xing GL Plus,"63,723 kms • Petrol • Manual",1086 ,17.92,5,Silver,62.1,Ventilated Disc,Drum,-,1590,1525,3565,-,-,First Owner,2012,Power,₹ 2.85 Lakh
85,2019 Hyundai Grand i10 1.2 Kappa Asta,"11,662 kms • Petrol • Manual",1197 ,18.9,5,Red,81.86,Disc,Drum,256,1520,1660,3765,-,165 Kmph,Second Owner,2019,Power,₹ 6.44 Lakh
86,2019 Maruti Baleno 1.2 CVT Delta,"37,238 kms • Petrol • Automatic",1197 ,21.4,5,Grey,83.1,Disc,Drum,339-litres,1510,1745,3995,1360,180 Kmph,Second Owner,2019,Power,₹ 8.22 Lakh
87,2013 Hyundai Verna 1.6 SX CRDi (O),"89,314 kms • Diesel • Manual",1582 ,22.32,5,White,126.32,Disc,Disc,465-litre,1475,1700,4370,-,190km/hr,First Owner,2013,Power,₹ 5.71 Lakh
