,Fuel_type,Running_in_kms,Endine_disp,Gear_transmission,Milage_in_km/ltr,Seating_cap,color,Max_power,front_brake_type,rear_brake_type,height,width,length,Weight,top_speed,Brand,Model,car_price,city_name,Car_age
9452,Petrol,23643.0,1496.0,Automatic,17.1,5.0,Red,105.5,Disc,Drum,1495.0,1730.0,4425.0,1580.0,,Toyota,Yaris,1000000.0,pune,3.0
9453,Petrol,21750.0,1197.0,Manual,21.4,5.0,Blue,83.1,Disc,Drum,1510.0,1745.0,3995.0,1360.0,180.0,Maruti,Baleno,675000.0,pune,4.0
9454,Diesel,269000.0,2494.0,Manual,12.99,7.0,Silver,100.0,Ventilated Disc,Leading-Trailing Drum,1760.0,1760.0,4585.0,2300.0,,Toyota,Innova,745000.0,pune,9.0
9455,Petrol,34571.0,998.0,Automatic,21.79,5.0,Grey,67.05,Disc,Drum,1675.0,1620.0,3655.0,1340.0,,Maruti,Wagon R,370000.0,pune,7.0
9456,Petrol,12591.0,1199.0,Automatic,18.6,5.0,POLAR WHITE,88.76,Disc,Drum,1501.0,1695.0,3995.0,,,Honda,Amaze,855000.0000000001,pune,1.0
9457,Diesel,80000.0,1364.0,Manual,23.59,5.0,White,67.05,Ventilated Disc,Drum,1510.0,1695.0,4265.0,,170.0,Toyota,Etios,350000.0,pune,9.0
9458,Diesel,80000.0,2199.0,Automatic,13.01,7.0,Silver,194.3,Ventilated Disc,Solid Disc,1690.0,1880.0,4690.0,,182.0,Hyundai,Santa Fe,1225000.0,pune,7.0
9459,Petrol,19800.0,1197.0,Automatic,20.89,5.0,Blue,81.8,Disc,Drum,1595.0,1690.0,3700.0,,,Maruti,Ignis,535000.0,pune,2.0
9460,Petrol,38525.0,1198.0,Manual,18.06,5.0,White,75.0,Ventilated Disc,Drum,1530.0,1665.0,3780.0,,158.0,Nissan,Micra,304000.0,pune,7.0
9461,Petrol,35000.0,999.0,Manual,23.01,5.0,White,67.0,Disc,Drum,1478.0,1579.0,3679.0,,155.0,Renault,KWID,375000.0,pune,3.0
9462,Petrol,80000.0,796.0,Automatic,19.7,5.0,Blue,46.3,Disc,Drum,1460.0,1475.0,3495.0,1140.0,137.0,Maruti,Alto,130000.0,pune,12.0
9463,Diesel,80000.0,1995.0,Manual,19.59,5.0,Brown,187.74,Disc,Disc,1508.0,2047.0,4824.0,,226.0,BMW,3 Series,2250000.0,pune,6.0
9464,Diesel,85252.0,1248.0,Automatic,22.9,5.0,Silver,74.0,Ventilated Disc,Drum,1530.0,1695.0,3850.0,1505.0,154.0,Maruti,Swift,395000.0,pune,10.0
9465,Petrol,40732.0,1198.0,Manual,16.5,5.0,U Titanium,86.8,Disc,Drum,1500.0,1680.0,3610.0,,185.0,Honda,Brio,389000.0,pune,8.0
9466,Petrol,10202.0,1199.0,Manual,18.3,5.0,Golden Brown,88.76,Disc,Drum,1501.0,1695.0,3995.0,,,Honda,Amaze,1000000.0,pune,1.0
9467,Diesel,70000.0,1968.0,Automatic,15.73,5.0,White,174.33,Ventilated Disc,Drum,1608.0,2019.0,4385.0,2185.0,212.0,Audi,Q3,1500000.0,pune,7.0
9468,Diesel,94000.0,1461.0,Manual,19.98,7.0,Black,108.5,Ventilated Disc,Drum,1697.0,1751.0,4498.0,,170.0,Renault,Lodgy,499000.0,pune,6.0
9469,Diesel,78000.0,1248.0,Manual,17.8,5.0,White,,,,,,,,,Maruti,Swift,380000.0,pune,10.0
9470,Petrol,99000.0,1086.0,Manual,0.0,5.0,Grey,62.0,Ventilated Disc,Drum,1590.0,1525.0,3565.0,,141.0,Hyundai,Santro Xing,135000.0,pune,16.0
9471,Petrol,68000.0,1197.0,Automatic,18.6,5.0,Maroon,81.83,Disc,Drum,1505.0,1734.0,3985.0,,170.0,Hyundai,i20,570000.0,pune,6.0
9472,Diesel,49000.0,1998.0,Automatic,23.8,5.0,Red,112.0,Disc,Drum,1561.0,1789.0,4097.0,1780.0,180.0,Mini,Cooper Countryman,1800000.0,pune,7.0
9473,Diesel,76200.0,1582.0,Manual,22.32,5.0,White,126.32,Disc,Disc,1475.0,1700.0,4370.0,,190.0,Hyundai,Verna,711000.0,pune,6.0
9474,Diesel,50000.0,2143.0,Manual,17.9,5.0,White,136.0,Disc,Disc,1494.0,1804.0,4417.0,2020.0,205.0,Mercedes-Benz,GLA Class,1685000.0000000002,pune,7.0
9475,Petrol,33000.0,1172.0,Automatic,15.7,5.0,Silver,67.0,Ventilated Disc,Drum,1495.0,1687.0,3987.0,,,Fiat,Punto,220000.00000000003,pune,12.0
9476,Diesel,90000.0,1968.0,Automatic,17.68,5.0,White,174.33,Ventilated Disc,Ventilated Disc,1455.0,2086.0,4915.0,2165.0,222.0,Audi,A6,1500000.0,pune,8.0
9477,Diesel,80000.0,2199.0,Manual,13.01,7.0,Silver,194.3,Ventilated Disc,Solid Disc,1690.0,1880.0,4690.0,,182.0,Hyundai,Santa Fe,1225000.0,pune,7.0
9478,Petrol,38525.0,1198.0,Automatic,18.06,5.0,White,75.0,Ventilated Disc,Drum,1530.0,1665.0,3780.0,,158.0,Nissan,Micra,304000.0,pune,7.0
9479,Petrol,35000.0,999.0,Automatic,23.01,5.0,White,67.0,Disc,Drum,1478.0,1579.0,3679.0,,155.0,Renault,KWID,375000.0,pune,3.0
9480,Diesel,80000.0,1995.0,Manual,19.59,5.0,Brown,187.74,Disc,Disc,1508.0,2047.0,4824.0,,226.0,BMW,3 Series,2250000.0,pune,6.0
9481,Diesel,85252.0,1248.0,Manual,22.9,5.0,Silver,74.0,Ventilated Disc,Drum,1530.0,1695.0,3850.0,1505.0,154.0,Maruti,Swift,395000.0,pune,10.0
9482,Petrol,40732.0,1198.0,Manual,16.5,5.0,U Titanium,86.8,Disc,Drum,1500.0,1680.0,3610.0,,185.0,Honda,Brio,389000.0,pune,8.0
9483,Petrol,10202.0,1199.0,Manual,18.3,5.0,Golden Brown,88.76,Disc,Drum,1501.0,1695.0,3995.0,,,Honda,Amaze,1000000.0,pune,1.0
9484,Diesel,70000.0,1968.0,Manual,15.73,5.0,White,174.33,Ventilated Disc,Drum,1608.0,2019.0,4385.0,2185.0,212.0,Audi,Q3,1500000.0,pune,7.0
9485,Diesel,94000.0,1461.0,Automatic,19.98,7.0,Black,108.5,Ventilated Disc,Drum,1697.0,1751.0,4498.0,,170.0,Renault,Lodgy,499000.0,pune,6.0
9486,Diesel,78000.0,1248.0,Manual,17.8,5.0,White,,,,,,,,,Maruti,Swift,380000.0,pune,10.0
9487,Petrol,99000.0,1086.0,Automatic,0.0,5.0,Grey,62.0,Ventilated Disc,Drum,1590.0,1525.0,3565.0,,141.0,Hyundai,Santro Xing,135000.0,pune,16.0
9488,Petrol,68000.0,1197.0,Manual,18.6,5.0,Maroon,81.83,Disc,Drum,1505.0,1734.0,3985.0,,170.0,Hyundai,i20,570000.0,pune,6.0
9489,Diesel,49000.0,1998.0,Automatic,23.8,5.0,Red,112.0,Disc,Drum,1561.0,1789.0,4097.0,1780.0,180.0,Mini,Cooper Countryman,1800000.0,pune,7.0
9490,Diesel,76200.0,1582.0,Automatic,22.32,5.0,White,126.32,Disc,Disc,1475.0,1700.0,4370.0,,190.0,Hyundai,Verna,711000.0,pune,6.0
9491,Petrol,33000.0,1172.0,Automatic,15.7,5.0,Silver,67.0,Ventilated Disc,Drum,1495.0,1687.0,3987.0,,,Fiat,Punto,220000.00000000003,pune,12.0
9492,Diesel,90000.0,1968.0,Manual,17.68,5.0,White,174.33,Ventilated Disc,Ventilated Disc,1455.0,2086.0,4915.0,2165.0,222.0,Audi,A6,1500000.0,pune,8.0
9493,Diesel,70000.0,2993.0,Automatic,16.46,5.0,Havana Metalic,258.0,Disc,Disc,1481.0,2142.0,5219.0,,250.0,BMW,7 Series,3500000.0,pune,6.0
9494,Diesel,100000.0,2143.0,Manual,19.27,5.0,White,170.0,Disc,Disc,1442.0,2020.0,4686.0,2135.0,233.0,Mercedes-Benz,New C-Class,1200000.0,pune,9.0
9495,Petrol,62000.0,1198.0,Manual,18.44,5.0,Orange,75.0,Ventilated Disc,Drum,1530.0,1665.0,3825.0,,160.0,Nissan,Micra,215000.0,pune,10.0
9496,Diesel,62000.0,4367.0,Manual,10.2,7.0,Silver,308.0,Electric Parking Brake,Electric Parking Brake,1865.0,2216.0,4972.0,3200.0,200.0,Land,Rover Range Rover,3200000.0,pune,10.0
9497,Petrol,33000.0,1172.0,Manual,15.7,5.0,Silver,67.0,Ventilated Disc,Drum,1495.0,1687.0,3987.0,,,Fiat,Punto,220000.00000000003,pune,12.0
9498,Diesel,90000.0,1968.0,Automatic,17.68,5.0,White,174.33,Ventilated Disc,Ventilated Disc,1455.0,2086.0,4915.0,2165.0,222.0,Audi,A6,1500000.0,pune,8.0
9499,Diesel,70000.0,2993.0,Manual,16.46,5.0,Havana Metalic,258.0,Disc,Disc,1481.0,2142.0,5219.0,,250.0,BMW,7 Series,3500000.0,pune,6.0
9500,Diesel,100000.0,2143.0,Manual,19.27,5.0,White,170.0,Disc,Disc,1442.0,2020.0,4686.0,2135.0,233.0,Mercedes-Benz,New C-Class,1200000.0,pune,9.0
9501,Petrol,62000.0,1198.0,Manual,18.44,5.0,Orange,75.0,Ventilated Disc,Drum,1530.0,1665.0,3825.0,,160.0,Nissan,Micra,215000.0,pune,10.0
9502,Diesel,111000.0,2179.0,Manual,13.5,5.0,Grey,115.0,Disc,Drum,1874.0,1850.0,5098.0,2550.0,153.0,Mahindra,Scorpio,315000.0,pune,13.0
9503,Diesel,62000.0,4367.0,Automatic,10.2,7.0,Silver,308.0,Electric Parking Brake,Electric Parking Brake,1865.0,2216.0,4972.0,3200.0,200.0,Land,Rover Range Rover,3200000.0,pune,10.0
9504,Diesel,78000.0,1498.0,Manual,25.8,5.0,White,98.6,Disc,Drum,1505.0,1680.0,3990.0,,170.0,Honda,Amaze,450000.0,pune,6.0
9505,Diesel,15001.0,2925.0,Automatic,13.5,5.0,Maroon,281.61,Disc,Disc,1494.0,,5255.0,,250.0,Mercedes-Benz,S-Class,14000000.0,pune,1.0
9506,Petrol,8146.0,1199.0,Automatic,18.7,5.0,Grey,88.7,Disc,Drum,1544.0,1694.0,3955.0,,172.0,Honda,Jazz,675000.0,pune,3.0
9507,Diesel,265000.0,2494.0,Automatic,12.8,8.0,Silver,102.0,Ventilated Disc,Drum,1755.0,1770.0,4580.0,2300.0,151.0,Toyota,Innova,360000.0,pune,14.0
9508,Diesel,53000.0,2179.0,Manual,12.7,5.0,Black,187.7,Disc,Disc,1635.0,2090.0,4355.0,2350.0,195.0,Land,Rover Range Rover Evoque,3700000.0,pune,5.0
9509,Diesel,57201.0,1995.0,Manual,18.88,5.0,Grey,184.0,Disc,Disc,1429.0,2031.0,4624.0,,235.0,BMW,3 Series,1250000.0,pune,8.0
9510,Diesel,71182.0,2143.0,Manual,17.9,5.0,Red,136.0,Disc,Disc,1494.0,1804.0,4424.0,2020.0,205.0,Mercedes-Benz,GLA Class,2200000.0,pune,5.0
9511,Petrol,76576.0,1197.0,Manual,16.1,5.0,Blue,85.0,Ventilated Disc,Drum,1530.0,1690.0,3760.0,1415.0,160.0,Maruti,Swift,145000.0,pune,15.0
9512,Diesel,50000.0,1498.0,Automatic,20.14,5.0,White,88.8,Disc,Drum,1469.0,1682.0,3971.0,1620.0,163.0,Volkswagen,Polo,750000.0,pune,3.0
9513,Diesel,74137.0,1995.0,Automatic,20.37,5.0,White,187.74,Ventilated Disc,Ventilated Disc,,,,,,BMW,5 Series,2700000.0,pune,6.0
9514,Diesel,84000.0,1248.0,Automatic,23.2,5.0,Grey,73.94,Ventilated Disc,Drum,1620.0,1680.0,3775.0,1520.0,163.0,Maruti,Ritz,254999.99999999997,pune,11.0
9515,Diesel,119000.0,1493.0,Manual,16.5,7.0,White,70.0,Disc,Drum,1880.0,1745.0,3995.0,,117.0,Mahindra,Bolero Power Plus,630000.0,pune,6.0
9516,Petrol,41200.0,1197.0,Automatic,17.21,5.0,White,103.5,Disc,Drum,1469.0,1682.0,3971.0,1580.0,177.0,Volkswagen,Polo,750000.0,pune,5.0
9517,Petrol,42397.0,1198.0,Automatic,16.47,5.0,White,74.0,Disc,Drum,1469.0,1682.0,3971.0,1520.0,165.0,Volkswagen,Polo,550000.0,pune,7.0
9518,Diesel,60100.0,1248.0,Manual,24.3,5.0,Grey,88.5,Ventilated Disc,Drum,1640.0,1790.0,3995.0,1680.0,172.0,Maruti,Vitara Brezza,1000000.0,pune,3.0
