,Car_Name,Fuel_type,Running_in_kms,Endine_disp,Gear_transmission,Milage_in_km/ltr,Seating_cap,color,Max_power,front_brake_type,rear_brake_type,cargo_volume,height,width,length,Weight,Insp_score,top_speed,City_url,Car_price
8313,2012 Toyota Etios Liva,Petrol,"30,000 kms",1197,Manual,17.71 kmpl,5,White,78.9,Ventilated Disc,Drum,-,1510,1695,3775,-,-,,https://www.cardekho.com/used-cars+in+mumbai,2.99 Lakh
8314,2020 Tata Altroz,Petrol,"3,000 kms",1199,Manual,19.05 kmpl,5,Golden,84.88,Disc,Drum,-,1523,1755,3990,-,-,-,https://www.cardekho.com/used-cars+in+mumbai,7.9 Lakh
8315,2020 Ford Endeavour,Diesel,"26,000 kms",1996,Manual,13.9 kmpl,7,White,167.62,Disc,Disc,-,1837,1869,4903,-,-,-,https://www.cardekho.com/used-cars+in+mumbai,38.5 Lakh
8316,2014 Skoda Octavia,Petrol,"38,000 kms",1798,Manual,14.7 kmpl,5,Silver,177.5,Disc,Disc,-,1476,1814,4659,1860,-,231 kmph,https://www.cardekho.com/used-cars+in+mumbai,10.75 Lakh
8317,2014 Maruti Swift,Diesel,"64,000 kms",1248,Automatic,25.2 kmpl,5,Grey,74,Ventilated Disc,Drum,-,1530,1735,3840,1405,-,155 Kmph,https://www.cardekho.com/used-cars+in+mumbai,5.25 Lakh
8318,2010 Toyota Corolla Altis,Diesel,"79,841 kms",1364,Manual,21.43 kmpl,5,White,138,Ventilated Disc,Solid Disc,-,1480,1760,4540,-,-,205,https://www.cardekho.com/used-cars+in+mumbai,3.5 Lakh
8319,2016 Honda City,Petrol,"53,600 kms",1497,Manual,18.0 kmpl,5,Maroon,117.3,Disc,Drum,-,1495,1695,4440,-,-,195 Kmph,https://www.cardekho.com/used-cars+in+mumbai,8.35 Lakh
8320,2016 Toyota Camry,Petrol,"1,19,851 kms",2494,Manual,12.98 kmpl,5,Black,178.4,Ventilated Disc,Solid Disc,-,1480,1825,4850,2000,-,210 Kmph,https://www.cardekho.com/used-cars+in+mumbai,12.5 Lakh
8321,2015 Mahindra TUV 300,Diesel,"67,000 kms",1493,Manual,18.49 kmpl,7,White,100,Disc,Drum,-,1826,1835,3995,2225,-,156 Kmph,https://www.cardekho.com/used-cars+in+mumbai,7.15 Lakh
8322,2014 Mercedes-Benz A Class,Diesel,"43,000 kms",2143,Manual,20.0 kmpl,5,White,107.3,Disc,Disc,-,1433,1780,4292,2000,-,190km/hr,https://www.cardekho.com/used-cars+in+mumbai,11.75 Lakh
8323,2018 Mercedes-Benz E-Class,Petrol,"34,000 kms",1991,Manual,15.0 kmpl,5,White,194.4,Ventilated Disc,Disc,-,1494,1860,5063,-,-,236 Kmph,https://www.cardekho.com/used-cars+in+mumbai,42.5 Lakh
8324,2012 Toyota Innova,Diesel,"1,45,000 kms",2494,Automatic,12.99 kmpl,7,Grey,100.6,Ventilated Disc,Drum,-,1760,1765,4585,2300,-,155 Kmph,https://www.cardekho.com/used-cars+in+mumbai,7.45 Lakh
8325,2010 Audi Q5,Petrol,"58,000 kms",1984,Automatic,9.74 kmpl,5,Grey,208,Ventilated Disc,Ventilated Disc,-,1653,1898,4629,-,-,222km/hr,https://www.cardekho.com/used-cars+in+mumbai,13.75 Lakh
