,Car_Name,Car_details,Endine_disp,Milage_in_km/ltr,Seating_cap,color,Max_power,front_brake_type,rear_brake_type,cargo_volume,height,width,length,Gross_Weight,top_speed,Ownership,Year_of_Manufacture,Steering_Type,Car_price
1041,2016 Renault Duster 85PS Diesel RxS,"75,328 kms • Diesel • Manual",1461 ,19.87,5,Orange,83.8,Disc,Drum,475-litres,1695,1822,4315,1777,156 Kmph,First Owner,2016,Power,₹ 8.88 Lakh
1042,2020 Hyundai Santro Sportz,"17,705 kms • Petrol • Manual",1086 ,20.3,5,White,68.05,Disc,Drum,235,1560 ,1645 ,3610 ,-,-,First Owner,2020,Electric,₹ 5.39 Lakh
1043,2020 Hyundai Venue SX Opt Diesel,"42,663 kms • Diesel • Manual",1493 ,23.7,5,Red,98.6,Disc,Drum,350,1605 ,1770 ,3995 ,-,-,Second Owner,2020,Electric,₹ 12.03 Lakh
1044,2018 Maruti Swift ZXI 2018,"54,074 kms • Petrol • Manual",1197 ,22,5,Red,81.80,Disc,Drum,268,1530,1735,3840,1315,-,First Owner,2018,Power,₹ 6.72 Lakh
1045,2017 Mahindra XUV500 W6 2WD,"21,485 kms • Diesel • Manual",2179 ,16,7,White,140,Disc,Disc,720-litres,1785,1890,4585,2510,185 Kmph,First Owner,2017,Power,₹ 12.58 Lakh
1046,2015 Volkswagen Vento 1.5 TDI Highline AT,"80,109 kms • Diesel • Automatic",1498 ,21.21,5,Black,103.2,Disc,Drum,454-liters,1466,1699,4384,1770,186 kmph,First Owner,2015,Power,₹ 8.37 Lakh
1047,2015 Honda City i VTEC V,"8,59,000 kms • Petrol • Manual",1497 ,17.4,5,White,117.3,Disc,Drum,510-litres,1495,1695,4440,-,195 Kmph,Second Owner,2015,Power,₹ 7.94 Lakh
1048,2020 Toyota Glanza V,"27,054 kms • Petrol • Manual",1197 ,21.01,5,White,81.80,Disc,Drum,339,1510,1745,3995,1340,-,First Owner,2020,Electric,₹ 8.45 Lakh
1049,2016 Renault Pulse Petrol RxL,"40,957 kms • Petrol • Manual",1198 ,18.06,5,Green,74.93,Ventilated Disc,Drum,251-litres,1530,1665,3805,-,158 Kmph,First Owner,2016,Power,₹ 3.93 Lakh
1050,2010 Hyundai i20 1.2 Magna Opt,"61,194 kms • Petrol • Manual",1197 ,17,5,White,80 PS at 5200 rpm,Disc,Drum,295 Lit,1505 ,1710 ,3940 ,-,-,First Owner,2010,Power,₹ 3.73 Lakh
1051,2017 Hyundai Xcent 1.2 VTVT SX,"73,278 kms • Petrol • Manual",1197 ,20.14,5,White,81.86,Disc,Drum,407,1520,1660,3995,-,172 Kmph,Second Owner,2017,Power,₹ 6.14 Lakh
1052,2008 Mercedes-Benz C-Class 220 CDI AT,"1,10,000 kms • Diesel • Automatic",2143 ,14.84,5,Black,170,Ventilated Disc,Solid Disc,475-litres,1447,1770,4591,2115,228km/hr,Second Owner,2008,Power,₹ 7.50 Lakh
1053,2012 Toyota Innova 2.5 G (Diesel) 7 Seater,"2,14,259 kms • Diesel • Manual",2494 ,12.99,7,Silver,100.6,Ventilated Disc,Leading-Trailing Drum,300-litres,1760,1760,4585,2300,155 Kmph,Second Owner,2012,Power,₹ 9.65 Lakh
1054,2017 Honda Jazz 1.2 V AT i VTEC,"25,465 kms • Petrol • Automatic",1199 ,19,5,Red,88.7,Disc,Drum,354-litres,1544,1694,3955,-,172 Kmph,First Owner,2017,Power,₹ 7.50 Lakh
1055,2022 Jeep Compass 1.4 Limited Opt DCT,"1,932 kms • Petrol • Automatic",1368 ,14.1,5,White,160.77,Disc,Disc,-,1640,1818,4405,-,-,First Owner,2022,Power,₹ 29.95 Lakh
1056,2018 Maruti Ciaz Alpha AT,"90,000 kms • Petrol • Automatic",1462 ,20.04,5,Brown,103.25,Ventilated Disc,Drum,510,1485,1730,4490,1530,-,First Owner,2018,Power,₹ 7.45 Lakh
1057,2019 Hyundai Grand i10 Sportz Petrol BSIV,"35,000 kms • Petrol • Manual",1197 ,18.9,5,White,81.86,Disc,Drum,256,1520,1660,3765,-,165 Kmph,First Owner,2019,Power,₹ 6.25 Lakh
