,Endine_disp,Milage_in_km/ltr,Seating_cap,color,Max_power,front_brake_type,rear_brake_type,cargo_volume,height,width,length,Gross_Weight,top_speed,Ownership,Steering_Type,Car_price,Brand,Model,Running_kms,Fuel_type,Gear_Transmission,Car_age
55,1353.0,16.5,5.0,White,138.08,Disc,Disc,433.0,1645.0,1800.0,4315.0,1580.0,170.0,First Owner,Electric,1652000.0,kia,seltos gtx plus,23936.0, Petrol , Manual,3.0
56,814.0,21.1,5.0,White,55.2,Disc,Drum,215.0,1500.0,1550.0,3495.0,1580.0,135.0,First Owner,Power,236000.0,hyundai,eon d lite plus,47732.0, Petrol , Manual,11.0
57,2143.0,17.9,5.0,Blue,201.15,Ventilated Disc,Ventilated Disc,690.0,1796.0,2060.0,4819.0,2510.0,212.0,Second Owner,Power,3650000.0,mercedes-benz,gle 250d,79000.0, Diesel , Automatic,7.0
58,1197.0,20.1,5.0,White,81.86,Disc,Drum,350.0,1520.0,1680.0,3995.0,1580.0,170.0,Second Owner,Electric,841000.0,hyundai,aura s amt,6947.0, Petrol , Automatic,2.0
59,1197.0,18.9,5.0,Grey,81.86,Disc,Drum,256.0,1520.0,1660.0,3765.0,1580.0,165.0,Second Owner,Power,643000.0,hyundai,grand i10 1.2 kappa sportz option at,16550.0, Petrol , Automatic,5.0
60,1197.0,22.38,5.0,Grey,88.5,Disc,Drum,268.0,1530.0,1735.0,3845.0,1335.0,170.0,First Owner,Electric,744000.0,maruti,swift vxi,13266.0, Petrol , Manual,2.0
61,1199.0,17.5,5.0,Black,88.7,Ventilated Disc,Drum,363.0,1601.0,1734.0,3999.0,1580.0,164.0,First Owner,Electric,753000.0,honda,wr-v i-vtec vx,23277.0, Petrol , Manual,5.0
62,999.0,21.74,5.0,Blue,67.0,Disc,Drum,279.0,1490.0,1579.0,3731.0,1580.0,170.0,First Owner,Electric,605000.0,renault,kwid climber 1.0 mt dt,13311.0, Petrol , Manual,1.0
63,1197.0,20.85,5.0,White,83.14,Ventilated Disc,Drum,320.0,1555.0,1695.0,3995.0,1415.0,158.0,First Owner,Power,613000.0,maruti,swift dzire zxi,43672.0, Petrol , Manual,8.0
64,2179.0,15.1,5.0,Black,140.0,Disc & Caliper Type,Disc,350.0,1535.0,1735.0,3995.0,1580.0,175.0,First Owner,Power,927999.9999999999,mahindra,xuv500 w6 2wd,43935.0, Diesel , Manual,9.0
65,999.0,18.2,5.0,Blue,71.01,Disc,Drum,84.0,1643.0,1739.0,3991.0,1580.0,170.0,Second Owner,Electric,736000.0,renault,triber rxz easy-r amt,20718.0, Petrol , Automatic,3.0
66,1197.0,18.9,5.0,Red,82.0,Disc,Drum,256.0,1520.0,1660.0,3765.0,1580.0,165.0,First Owner,Power,446000.0,hyundai,grand i10 magna,54381.0, Petrol , Manual,9.0
67,1199.0,18.7,5.0,Silver,88.7,Disc,Drum,354.0,1544.0,1694.0,3955.0,1580.0,172.0,First Owner,Power,616000.0,honda,jazz 1.2 v i vtec,46539.0, Petrol , Manual,7.0
68,796.0,22.05,5.0,Blue,47.33,Disc,Drum,350.0,1475.0,1515.0,3445.0,1185.0,170.0,First Owner,Power,384000.0,maruti,alto 800 vxi,40001.0, Petrol , Manual,3.0
69,1197.0,19.1,5.0,Silver,85.8,Ventilated Disc,Drum,320.0,1555.0,1695.0,3995.0,1415.0,169.0,First Owner,Power,525000.0,maruti,swift dzire zxi,46530.0, Petrol , Manual,10.0
70,1197.0,20.36,5.0,Grey,78.9,Ventilated Disc,Drum,350.0,1550.0,1595.0,3585.0,1580.0,170.0,First Owner,Power,364000.0,hyundai,i10 sportz,84938.0, Petrol , Manual,9.0
71,2494.0,12.99,5.0,Golden,100.6,Ventilated Disc,Drum,300.0,1760.0,1765.0,4585.0,2300.0,155.0,First Owner,Power,1350000.0,toyota,innova 2.5 vx (diesel) 7 seater bs iv,120165.09999999999, Diesel , Manual,9.0
72,1197.0,18.6,5.0,White,85.8,Ventilated Disc,Drum,350.0,1530.0,1695.0,3850.0,1415.0,170.0,Second Owner,Power,525000.0,maruti,swift zxi,63888.0, Petrol , Manual,9.0
73,1497.0,17.4,5.0,Brown,117.3,Disc,Drum,510.0,1495.0,1695.0,4440.0,1580.0,195.0,First Owner,Power,786000.0,honda,city i vtec vx,47102.0, Petrol , Manual,8.0
74,1197.0,22.0,5.0,White,81.8,Disc,Drum,268.0,1530.0,1735.0,3840.0,1315.0,170.0,First Owner,Power,609000.0,maruti,swift zxi bsiv,67231.0, Petrol , Manual,7.0
75,998.0,18.9,5.0,Red,67.1,Ventilated Disc,Drum,350.0,1700.0,1495.0,3595.0,1350.0,170.0,First Owner,Power,298000.0,maruti,wagon r vxi bs iv,72850.0, Petrol , Manual,12.0
76,1197.0,18.9,5.0,Blue,81.86,Disc,Drum,256.0,1520.0,1660.0,3765.0,1580.0,165.0,Second Owner,Power,517000.0,hyundai,grand i10 1.2 kappa magna bsiv,61498.0, Petrol , Manual,5.0
77,1197.0,20.52,5.0,Grey,81.8,Disc,Drum,341.0,1675.0,1620.0,3655.0,1340.0,170.0,First Owner,Power,621000.0,maruti,wagon r zxi amt 1.2,13224.0, Petrol , Automatic,4.0
78,1197.0,18.19,5.0,Carbon steel,103.2,Ventilated Disc,Drum,494.0,1467.0,1699.0,4390.0,1720.0,185.0,First Owner,Power,1099000.0,volkswagen,vento 1.2 tsi highline plus at,55289.0, Petrol , Automatic,4.0
79,1497.0,16.8,5.0,Maroon,116.3,Disc,Drum,506.0,1485.0,1695.0,4440.0,1580.0,170.0,First Owner,Power,507000.0,honda,city v mt,72137.0, Petrol , Manual,11.0
80,1497.0,17.4,5.0,Black,117.6,Ventilated Disc,Drum,510.0,1495.0,1695.0,4440.0,1455.0,195.0,First Owner,Power,999000.0,honda,city v cvt,43573.0, Petrol , Automatic,4.0
81,1497.0,17.0,5.0,White,121.31,Ventilated Disc,Drum,352.0,1647.0,1765.0,3998.0,1660.0,170.0,First Owner,Power,836000.0,ford,ecosport 1.5 petrol titanium bsiv,43612.0, Petrol , Manual,4.0
82,1496.0,17.8,5.0,White,105.5,Disc,Drum,476.0,1495.0,1730.0,4425.0,1580.0,170.0,Second Owner,Power,847000.0000000001,toyota,yaris g cvt bsiv,17079.0, Petrol , Automatic,5.0
83,1197.0,21.21,5.0,Grey,81.8,Disc,Drum,268.0,1530.0,1735.0,3840.0,1315.0,170.0,First Owner,Electric,764000.0,maruti,swift amt zxi plus,26541.0, Petrol , Automatic,5.0
84,1086.0,17.92,5.0,Silver,62.1,Ventilated Disc,Drum,350.0,1590.0,1525.0,3565.0,1580.0,170.0,First Owner,Power,285000.0,hyundai,santro xing gl plus,63723.0, Petrol , Manual,11.0
85,1197.0,18.9,5.0,Red,81.86,Disc,Drum,256.0,1520.0,1660.0,3765.0,1580.0,165.0,Second Owner,Power,644000.0,hyundai,grand i10 1.2 kappa asta,11662.0, Petrol , Manual,4.0
86,1197.0,21.4,5.0,Grey,83.1,Disc,Drum,339.0,1510.0,1745.0,3995.0,1360.0,180.0,Second Owner,Power,822000.0000000001,maruti,baleno 1.2 cvt delta,37238.0, Petrol , Automatic,4.0
87,1582.0,22.32,5.0,White,126.32,Disc,Disc,465.0,1475.0,1700.0,4370.0,1580.0,190.0,First Owner,Power,571000.0,hyundai,verna 1.6 sx crdi (o),89314.0, Diesel , Manual,10.0
88,1497.0,17.4,5.0,Grey,117.6,Ventilated Disc,Drum,510.0,1495.0,1695.0,4440.0,1436.0,189.0,First Owner,Power,896000.0000000001,honda,city i-vtec v,49364.0, Petrol , Manual,5.0
89,1373.0,20.73,5.0,Red,91.1,Ventilated Disc,Drum,510.0,1485.0,1730.0,4490.0,1490.0,190.0,First Owner,Power,790000.0,maruti,ciaz zxi,27782.0, Petrol , Manual,7.0
90,1197.0,18.5,5.0,Grey,85.8,Ventilated Disc,Drum,236.0,1620.0,1680.0,3775.0,1430.0,156.0,First Owner,Power,334000.0,maruti,ritz zxi,62248.0, Petrol , Manual,13.0
91,1199.0,19.5,5.0,Maroon,88.76,Disc,Drum,420.0,1501.0,1695.0,3995.0,1580.0,160.0,Second Owner,Power,557000.0,honda,amaze vx petrol bsiv,28982.0, Petrol , Manual,6.0
92,1451.0,14.16,5.0,Silver,141.0,Disc,Disc,587.0,1760.0,1835.0,4655.0,1580.0,170.0,Second Owner,Power,1299000.0,mg,hector super mt bsiv,31106.0, Petrol , Manual,4.0
93,1197.0,20.89,5.0,White,81.8,Disc,Drum,260.0,1595.0,1690.0,3700.0,1580.0,170.0,First Owner,Electric,818000.0,maruti,ignis alpha amt,11473.0, Petrol , Automatic,2.0
94,1497.0,17.0,5.0,Black,121.31,Ventilated Disc,Drum,352.0,1647.0,1765.0,3998.0,1660.0,170.0,Second Owner,Power,819000.0,ford,ecosport 1.5 petrol titanium bsiv,50276.0, Petrol , Manual,5.0
95,999.0,22.0,5.0,Red,67.0,Disc,Drum,279.0,1474.0,1579.0,3731.0,1580.0,170.0,First Owner,Electric,559000.0,renault,kwid 1.0 rxt amt opt,19050.0, Petrol , Automatic,3.0
96,998.0,18.15,5.0,Blue,118.35,Disc,Drum,350.0,1605.0,1770.0,3995.0,1580.0,170.0,First Owner,Power,1021000.0000000001,hyundai,venue sx plus turbo dct bsiv,43353.0, Petrol , Automatic,4.0
97,1197.0,18.5,5.0,Silver,82.9,Disc,Drum,350.0,1505.0,1710.0,3995.0,1580.0,170.0,Second Owner,Power,425000.0,hyundai,i20 magna optional 1.2,74548.0, Petrol , Manual,9.0
